Title,Author,Course Title,Course Code,Year,Semester,Shelf,Row,Download Link
Higher Algebra,Hall and Knight,Algebra and Trigonometry,AMAT-1102,1,1,Shelf A,Row 1,https://drive.google.com/file/d/1boWQftcjS6_u0HN2EUMmWATPUmpwSEk8/view?usp=sharing
Set Theory and Related topics,S. Lipschutz,Fundamental of Mathematics,AMAT-1101,1,1,Shelf A,Row 1,https://drive.google.com/file/d/18CsQBMkR93zekcI7QLq6_pQMWahXJnRV/view?usp=sharing
Higher Trigonometry,S.A. Sattar,Algebra and Trigonometry,AMAT-1102,1,1,Shelf A,Row 2,
Calculus,Howard Anton,Differential Calculus,AMAT-1103,1,1,Shelf A,Row 2,https://drive.google.com/file/d/1xD2O5MVMA1kU2RFdmX4G1tNHj02MCZNJ/view?usp=drive_link
Theory of Matrices,F. Ayres,Matrix Theory,AMAT-1104,1,1,Shelf A,Row 3,https://drive.google.com/file/d/1moBdmsz2Qadji0DNaaddZe4StUcBB3hR/view?usp=sharing
Elements of Properties of Matter,D.S. Mathur,"Mechanics, Properties of Matter, Wave and Sound",PHYS-1110,1,1,Shelf A,Row 2,
Methods of Statistics, K.C Bhuyan,Fundamentals of Statistics,STAT-1111,1,1,Shelf A,Row 1,
Analytic Geometry of Conic Sections,Askwith H. H.,Geometry of Two Dimensions,AMAT-1201,1,2,Shelf A,Row 4,
Vector & Tensor Analysis,M. R. Spiegel,Vector Analysis,AMAT-1202,1,2,Shelf A,Row 4,
Calculus,Howard Anton,Integral Calculus,AMAT1203,1,2,Shelf A,Row 3,
Linear Algebra,S. Lipschutz,Linear Algebra,AMAT-1204,1,2,Shelf A,Row 5,
Electricity and Magnetism,K K T,Electricity and Magnetism,PHYS1210,1,2,Shelf A,Row 5,
Probability and Probability Distribution,"Roy, M.K",Theory of Probability,STAT1211,1,2,Shelf A,Row 5,